29,-54,20,0,0,
29,-54,0,0.6,1,
29,-76.1,0,3.915,1,
28.293,-79.707,0,4.4664,1,
31.9,-79,0,5.0177,1,
79,-79,0,12.083,1,
79,-31.9,0,19.148,1,
79.632,-28.368,0,19.686,1,
76.1,-29,0,20.224,1,
31.9,-29,0,26.854,1,
28.293,-28.293,0,27.406,1,
29,-31.9,0,27.957,1,
29,-54,0,31.272,0,
29,-54,20,31.872,0,
-79,-1.78E-15,20,35.494,0,
-79,-1.78E-15,0,36.094,1,
-79,-22.1,0,39.409,1,
-79.707,-25.707,0,39.961,1,
-76.1,-25,0,40.512,1,
-31.9,-25,0,47.142,1,
-28.352,-25.695,0,47.684,1,
-28.293,-25.707,0,47.693,1,
-29,-22.1,0,48.245,1,
-29,25,0,55.31,1,
-76.1,25,0,62.375,1,
-79.707,25.707,0,62.926,1,
-79,22.1,0,63.478,1,
-79,-1.78E-15,0,66.793,0,
-79,-1.78E-15,20,67.393,0,
-79,54.019,20,69.013,0,
-79,54.019,0,69.613,1,
-79,31.9,0,72.931,1,
-79.707,28.293,0,73.482,1,
-76.1,29,0,74.034,1,
-31.9,29,0,80.664,1,
-28.293,28.293,0,81.215,1,
-29,31.9,0,81.766,1,
-29,76.1,0,88.396,1,
-28.293,79.707,0,88.948,1,
-31.9,79,0,89.499,1,
-79,79,0,96.564,1,
-79,54.019,0,100.31,0,
-79,54.019,20,100.91,0,
29,54.019,20,104.15,0,
29,54.019,0,104.75,1,
29,53.941,0,104.76,1,
29,29,0,108.5,1,
76.1,29,0,115.57,1,
79.707,28.293,0,116.12,1,
79,31.9,0,116.67,1,
79,79,0,123.74,1,
31.9,79,0,130.8,1,
28.293,79.707,0,131.35,1,
29,76.1,0,131.9,1,
29,54.019,0,135.22,0,
29,54.019,20,135.82,0,
29,0.031526,20,137.44,0,
29,0.031526,0,138.04,1,
29,-25,0,141.79,1,
76.1,-25,0,148.86,1,
79.707,-25.707,0,149.41,1,
79,-22.1,0,149.96,1,
79,22.1,0,156.59,1,
79.707,25.707,0,157.14,1,
76.1,25,0,157.69,1,
31.9,25,0,164.32,1,
28.293,25.707,0,164.87,1,
29,22.1,0,165.42,1,
29,0.031526,0,168.73,0,
29,0.031526,20,169.33,0,
-25,54.019,20,171.63,0,
-25,54.019,0,172.23,1,
-25,29,0,175.98,1,
22.1,29,0,183.04,1,
25.707,28.293,0,183.59,1,
25,31.9,0,184.15,1,
25,76.1,0,190.78,1,
25.707,79.707,0,191.33,1,
22.1,79,0,191.88,1,
-22.1,79,0,198.51,1,
-25.707,79.707,0,199.06,1,
-25,76.1,0,199.61,1,
-25,54.031,0,202.92,1,
-25,54.019,0,202.92,0,
-25,54.019,20,203.52,0,
-25,-3.1608,20,205.24,0,
-25,-3.1608,0,205.84,1,
-25,-25,0,209.11,1,
22.1,-25,0,216.18,1,
25.707,-25.707,0,216.73,1,
25,-22.1,0,217.28,1,
25,25,0,224.35,1,
-22.1,25,0,231.41,1,
-25.707,25.707,0,231.96,1,
-25,22.1,0,232.52,1,
-25,0.029525,0,235.83,1,
-25,-3.1608,0,236.3,0,
-25,-3.1608,20,236.9,0,
-25,-54,20,238.43,0,
-25,-54,0,239.03,1,
-25,-76.1,0,242.34,1,
-25.707,-79.707,0,242.9,1,
-22.1,-79,0,243.45,1,
22.1,-79,0,250.08,1,
25.707,-79.707,0,250.63,1,
25,-76.1,0,251.18,1,
25,-29,0,258.25,1,
-22.1,-29,0,265.31,1,
