-25,54.019,20,0,0,,
-25,54.019,0,0.6,1,,
-25,29,0,4.3529,1,,
22.1,29,0,11.418,1,,
25.707,28.293,0,11.969,1,,
25,31.9,0,12.521,1,,
25,76.1,0,19.151,1,,
25.707,79.707,0,19.702,1,,
22.1,79,0,20.253,1,,
-22.1,79,0,26.883,1,,
-25.707,79.707,0,27.435,1,,
-25,76.1,0,27.986,1,,
-25,54.031,0,31.296,1,,
-25,54.019,0,31.298,0,,
-25,54.019,20,31.898,0,,
29,0.031526,20,34.189,0,,
29,0.031526,0,34.789,1,,
29,-25,0,38.544,1,,
76.1,-25,0,45.609,1,,
79.707,-25.707,0,46.16,1,,
79,-22.1,0,46.711,1,,
79,22.1,0,53.341,1,,
79.707,25.707,0,53.893,1,,
76.1,25,0,54.444,1,,
31.9,25,0,61.074,1,,
28.293,25.707,0,61.625,1,,
29,22.1,0,62.177,1,,
29,0.031526,0,65.487,0,,
29,0.031526,20,66.087,0,,
29,-54,20,67.708,0,,
29,-54,0,68.308,1,,
29,-76.1,0,71.623,1,,
28.293,-79.707,0,72.174,1,,
31.9,-79,0,72.726,1,,
79,-79,0,79.791,1,,
79,-31.9,0,86.856,1,,
79.632,-28.368,0,87.394,1,,
76.1,-29,0,87.932,1,,
31.9,-29,0,94.562,1,,
28.293,-28.293,0,95.114,1,,
29,-31.9,0,95.665,1,,
29,-54,0,98.98,0,,
29,-54,20,99.58,0,,
-83,0,20,103.31,0,,
-83,0,0,103.91,1,,
-83,-83,0,116.36,1,,
83,-83,0,141.26,1,,
83,83,0,166.16,1,,
-83,83,0,191.06,1,,
-83,0,0,203.51,0,,
-83,0,20,204.11,0,,
29,54.019,20,207.84,0,,
29,54.019,0,213.24,1,,4.8
29,53.941,0,213.25,1,,
29,29,0,216.99,1,,
76.1,29,0,224.06,1,,
79.707,28.293,0,224.61,1,,
79,31.9,0,225.16,1,,
79,79,0,232.23,1,,
31.9,79,0,239.29,1,,
28.293,79.707,0,239.84,1,,
29,76.1,0,240.39,1,,
29,54.019,0,243.71,0,,
29,54.019,20,244.31,0,,
-25,-54,20,247.93,0,,
-25,-54,0,248.53,1,,
-25,-76.1,0,251.84,1,,
-25.707,-79.707,0,252.4,1,,
-22.1,-79,0,252.95,1,,
22.1,-79,0,259.58,1,,
25.707,-79.707,0,260.13,1,,
25,-76.1,0,260.68,1,,
25,-29,0,267.74,1,,
-22.1,-29,0,274.81,1,,
-25.707,-28.293,0,275.36,1,,
-25,-31.9,0,275.91,1,,
-25,-54,0,279.23,0,,
-25,-54,20,279.83,0,,
-79,54.019,20,283.45,0,,
-79,54.019,0,284.05,1,,
-79,31.9,0,287.37,1,,
-79.707,28.293,0,287.92,1,,
-76.1,29,0,288.47,1,,
-31.9,29,0,295.1,1,,
-28.293,28.293,0,295.65,1,,
-29,31.9,0,296.2,1,,
-29,76.1,0,302.83,1,,
