29,-0.040437,20,0,0
29,-0.040437,0,0.6,1
29,-22.1,0,3.9089,1
28.209,-25.791,0,4.4752,1
31.9,-25,0,5.0415,1
76.1,-25,0,11.672,1
79.707,-25.707,0,12.223,1
79,-22.1,0,12.774,1
79,22.1,0,19.404,1
79.707,25.707,0,19.956,1
76.1,25,0,20.507,1
31.9,25,0,27.137,1
27.988,26,0,27.743,1
29,22.1,0,28.347,1
29,0.031526,0,31.657,1
29,-0.040437,0,31.668,0
29,-0.040437,20,32.268,0
-79,-55.829,20,35.915,0
-79,-55.829,0,36.515,1
-79,-79,0,39.99,1
-31.9,-79,0,47.055,1
-28.293,-79.707,0,47.607,1
-29,-76.1,0,48.158,1
-29,-31.9,0,54.788,1
-28.256,-28.256,0,55.346,1
-31.9,-29,0,55.904,1
-76.1,-29,0,62.534,1
-79.632,-28.368,0,63.072,1
-79,-31.9,0,63.61,1
-79,-53.982,0,66.923,1
-79,-55.829,0,67.2,0
-79,-55.829,20,67.8,0
-25,53.997,20,71.471,0
-25,53.997,0,72.071,1
-25,31.9,0,75.386,1
-25.49,28.51,0,75.9,1
-22.1,29,0,76.414,1
22.1,29,0,83.044,1
26.024,27.988,0,83.651,1
25,31.9,0,84.258,1
25,76.1,0,90.888,1
25.707,79.707,0,91.439,1
22.1,79,0,91.991,1
-22.1,79,0,98.621,1
-25.707,79.707,0,99.172,1
-25,76.1,0,99.723,1
-25,54.031,0,103.03,1
-25,54.019,0,103.04,1
-25,53.997,0,103.04,0
-25,53.997,20,103.64,0
-79,-1.7764e-15,20,105.93,0
-79,-1.7764e-15,0,106.53,1
-79,-22.1,0,109.84,1
-79.707,-25.707,0,110.4,1
-76.1,-25,0,110.95,1
-31.9,-25,0,117.58,1
-28.417,-25.886,0,118.12,1
-27.985,-25.998,0,118.18,1
-29,-22.1,0,118.79,1
-29,22.1,0,125.42,1
-28.449,25.551,0,125.94,1
-31.9,25,0,126.47,1
-76.1,25,0,133.1,1
-79.707,25.707,0,133.65,1
-79,22.1,0,134.2,1
-79,-1.7764e-15,0,137.51,0
-79,-1.7764e-15,20,138.11,0
29,50.016,20,141.68,0
29,50.016,0,142.28,1
29,31.9,0,145,1
28.328,28.328,0,145.55,1
31.9,29,0,146.09,1
76.1,29,0,152.72,1
79.707,28.293,0,153.27,1
79,31.9,0,153.82,1
79,79,0,160.89,1
31.9,79,0,167.95,1
28.293,79.707,0,168.51,1
29,76.1,0,169.06,1
29,54.019,0,172.37,1
29,53.941,0,172.38,1
29,50.016,0,172.97,0
29,50.016,20,173.57,0
-25,0.41827,20,175.77,0
-25,0.41827,0,176.37,1
-25,0.029525,0,176.43,1
-25,-3.1608,0,176.91,1
-25,-22.1,0,179.75,1
-25.805,-25.805,0,180.32,1
-22.1,-25,0,180.89,1
22.1,-25,0,187.52,1
26.019,-26.003,0,188.12,1
25,-22.1,0,188.73,1
25,22.1,0,195.36,1
25.594,25.594,0,195.89,1
22.1,25,0,196.42,1
-22.1,25,0,203.05,1
-26.055,26.041,0,203.66,1
-25,22.1,0,204.28,1
-25,0.41827,0,207.53,0
-25,0.41827,20,208.13,0
-79,54.019,20,210.41,0
-79,54.019,0,211.01,1
-79,31.9,0,214.33,1
-79.707,28.293,0,214.88,1
-76.1,29,0,215.43,1
-31.9,29,0,222.06,1
-28.009,27.996,0,222.66,1
-29,31.9,0,223.27,1
-29,76.1,0,229.9,1
-28.293,79.707,0,230.45,1
-31.9,79,0,231,1
-79,79,0,238.07,1
-79,54.019,0,241.81,0
-79,54.019,20,242.41,0
-83,0,20,244.04,0
-83,0,0,244.64,1
-83,-83,0,257.09,1
83,-83,0,281.99,1
83,83,0,306.89,1
-83,83,0,331.79,1
-83,0,0,344.24,0
-83,0,20,344.84,0
-25,-52.333,20,347.18,0
-25,-52.333,0,347.78,1
-25,-54,0,348.03,1
-25,-76.1,0,351.35,1
-25.707,-79.707,0,351.9,1
-22.1,-79,0,352.45,1
22.1,-79,0,359.08,1
25.707,-79.707,0,359.63,1
25,-76.1,0,360.18,1
25,-31.9,0,366.81,1
25.638,-28.362,0,367.35,1
22.1,-29,0,367.89,1
-22.1,-29,0,374.52,1
-25.988,-28,0,375.12,1
-25,-31.9,0,375.73,1
-25,-52.333,0,378.79,0
-25,-52.333,20,379.39,0
29,-54,20,381.01,0
29,-54,0,381.61,1
29,-76.1,0,384.93,1
28.293,-79.707,0,385.48,1
31.9,-79,0,386.03,1
79,-79,0,393.09,1
79,-31.9,0,400.16,1
79.632,-28.368,0,400.7,1
76.1,-29,0,401.24,1
31.9,-29,0,407.87,1
28.006,-28.006,0,408.47,1
29,-31.9,0,409.07,1
29,-54,0,412.39,0
29,-54,20,412.99,0
29,-0.040437,21.75,413.59,0
29,-0.040437,1.75,414.19,1
29,-22.1,1.75,417.5,1
28.209,-25.791,1.75,418.06,1
31.9,-25,1.75,418.63,1
76.1,-25,1.75,425.26,1
79.707,-25.707,1.75,425.81,1
79,-22.1,1.75,426.36,1
79,22.1,1.75,432.99,1
79.707,25.707,1.75,433.54,1
76.1,25,1.75,434.09,1
31.9,25,1.75,440.72,1
27.988,26,1.75,441.33,1
29,22.1,1.75,441.93,1
29,0.031526,1.75,445.24,1
29,-0.040437,1.75,445.25,0
29,-0.040437,21.75,445.85,0
-79,-55.829,21.75,449.5,0
-79,-55.829,1.75,450.1,1
-79,-79,1.75,453.58,1
-31.9,-79,1.75,460.64,1
-28.293,-79.707,1.75,461.19,1
-29,-76.1,1.75,461.74,1
-29,-31.9,1.75,468.37,1
-28.256,-28.256,1.75,468.93,1
-31.9,-29,1.75,469.49,1
-76.1,-29,1.75,476.12,1
-79.632,-28.368,1.75,476.66,1
-79,-31.9,1.75,477.2,1
-79,-53.982,1.75,480.51,1
-79,-55.829,1.75,480.79,0
-79,-55.829,21.75,481.39,0
-25,53.997,21.75,485.06,0
-25,53.997,1.75,485.66,1
-25,31.9,1.75,488.97,1
-25.49,28.51,1.75,489.49,1
-22.1,29,1.75,490,1
22.1,29,1.75,496.63,1
26.024,27.988,1.75,497.24,1
25,31.9,1.75,497.84,1
25,76.1,1.75,504.47,1
25.707,79.707,1.75,505.03,1
22.1,79,1.75,505.58,1
-22.1,79,1.75,512.21,1
-25.707,79.707,1.75,512.76,1
-25,76.1,1.75,513.31,1
