-79,54.019,20,0,0
-79,54.019,0,0.6,1
-79,31.9,0,3.9179,1
-79.707,28.293,0,4.4692,1
-76.1,29,0,5.0206,1
-31.9,29,0,11.651,1
-28.293,28.293,0,12.202,1
-29,31.9,0,12.753,1
-29,76.1,0,19.383,1
-28.293,79.707,0,19.935,1
-31.9,79,0,20.486,1
-79,79,0,27.551,1
-79,54.019,0,31.298,0
-79,54.019,20,31.898,0
-25,-3.1608,20,34.258,0
-25,-3.1608,0,34.858,1
-25,-25,0,38.134,1
22.1,-25,0,45.199,1
25.707,-25.707,0,45.75,1
25,-22.1,0,46.301,1
25,25,0,53.366,1
-22.1,25,0,60.431,1
-25.707,25.707,0,60.983,1
-25,22.1,0,61.534,1
-25,0.029525,0,64.845,1
-25,-3.1608,0,65.323,0
-25,-3.1608,20,65.923,0
-79,-53.982,20,68.148,0
-79,-53.982,0,68.748,1
-79,-79,0,72.5,1
-31.9,-79,0,79.565,1
-28.293,-79.707,0,80.117,1
-29,-76.1,0,80.668,1
-29,-29,0,87.733,1
-76.1,-29,0,94.798,1
-79.632,-28.368,0,95.336,1
-79,-31.9,0,95.875,1
-79,-53.982,0,99.187,0
-79,-53.982,20,99.787,0
29,-54,20,103.03,0
29,-54,0,103.63,1
29,-76.1,0,106.94,1
28.293,-79.707,0,107.49,1
31.9,-79,0,108.04,1
79,-79,0,115.11,1
79,-31.9,0,122.17,1
79.632,-28.368,0,122.71,1
76.1,-29,0,123.25,1
31.9,-29,0,129.88,1
28.293,-28.293,0,130.43,1
29,-31.9,0,130.98,1
29,-54,0,134.3,0
29,-54,20,134.9,0
29,0.031526,20,136.52,0
29,0.031526,0,137.12,1
29,-25,0,140.87,1
76.1,-25,0,147.94,1
79.707,-25.707,0,148.49,1
79,-22.1,0,149.04,1
79,22.1,0,155.67,1
79.707,25.707,0,156.22,1
76.1,25,0,156.78,1
31.9,25,0,163.41,1
28.293,25.707,0,163.96,1
29,22.1,0,164.51,1
29,0.031526,0,167.82,0
29,0.031526,20,168.42,0
-83,0,20,171.78,0
-83,0,0,172.38,1
-83,-83,0,184.83,1
83,-83,0,209.73,1
83,83,0,234.63,1
-83,83,0,259.53,1
-83,0,0,271.98,0
-83,0,20,272.58,0
-79,-1.7764e-15,20,272.7,0
-79,-1.7764e-15,0,273.3,1
-79,-22.1,0,276.61,1
-79.707,-25.707,0,277.16,1
-76.1,-25,0,277.72,1
-31.9,-25,0,284.35,1
-28.352,-25.695,0,284.89,1
-28.293,-25.707,0,284.9,1
-29,-22.1,0,285.45,1
-29,25,0,292.51,1
